geoname,code,geofips,description,year,dollars
Alabama,AL, 01000,Household consumption expenditures (for services),1998,45615.4
Alabama,AL, 01000,Housing and utilities,1998,11676.3
Alabama,AL, 01000,Health care,1998,12892.3
Alabama,AL, 01000,Transportation services,1998,2210.4
Alabama,AL, 01000,Recreation services,1998,3253.2
Alabama,AL, 01000,Food services and accommodations,1998,4376.6
Alabama,AL, 01000,Financial services and insurance,1998,5474.9
Alabama,AL, 01000,Other services,1998,5731.9
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),1998,1014.0
Alabama,AL, 01000,Gross output of nonprofit institutions,1998,6804.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,1998,5790.0
Alabama,AL, 01000,Personal consumption expenditures,1999,82570.0
Alabama,AL, 01000,Goods,1999,33614.3
Alabama,AL, 01000,Durable goods,1999,11692.1
Alabama,AL, 01000,Motor vehicles and parts,1999,5775.5
Alabama,AL, 01000,Furnishings and durable household equipment,1999,2480.5
Alabama,AL, 01000,Recreational goods and vehicles,1999,2144.5
Alabama,AL, 01000,Other durable goods,1999,1291.6
Alabama,AL, 01000,Nondurable goods,1999,21922.2
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,1999,8270.0
Alabama,AL, 01000,Clothing and footwear,1999,3773.6
Alabama,AL, 01000,Gasoline and other energy goods,1999,2342.4
Alabama,AL, 01000,Other nondurable goods,1999,7536.3
Alabama,AL, 01000,Services,1999,48955.7
Alabama,AL, 01000,Household consumption expenditures (for services),1999,47710.7
Alabama,AL, 01000,Housing and utilities,1999,12219.5
Alabama,AL, 01000,Health care,1999,13144.1
Alabama,AL, 01000,Transportation services,1999,2318.0
Alabama,AL, 01000,Recreation services,1999,3280.0
Alabama,AL, 01000,Food services and accommodations,1999,4645.4
Alabama,AL, 01000,Financial services and insurance,1999,6253.6
Alabama,AL, 01000,Other services,1999,5850.1
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),1999,1245.0
Alabama,AL, 01000,Gross output of nonprofit institutions,1999,7353.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,1999,6108.0
Alabama,AL, 01000,Personal consumption expenditures,2000,87080.2
Alabama,AL, 01000,Goods,2000,35138.8
Alabama,AL, 01000,Durable goods,2000,11985.9
Alabama,AL, 01000,Motor vehicles and parts,2000,5816.9
Alabama,AL, 01000,Furnishings and durable household equipment,2000,2589.9
Alabama,AL, 01000,Recreational goods and vehicles,2000,2222.5
Alabama,AL, 01000,Other durable goods,2000,1356.5
Alabama,AL, 01000,Nondurable goods,2000,23152.9
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2000,8325.3
Alabama,AL, 01000,Clothing and footwear,2000,3807.2
Alabama,AL, 01000,Gasoline and other energy goods,2000,3052.0
Alabama,AL, 01000,Other nondurable goods,2000,7968.4
Alabama,AL, 01000,Services,2000,51941.4
Alabama,AL, 01000,Household consumption expenditures (for services),2000,50564.4
Alabama,AL, 01000,Housing and utilities,2000,13023.2
Alabama,AL, 01000,Health care,2000,13762.0
Alabama,AL, 01000,Transportation services,2000,2410.7
Alabama,AL, 01000,Recreation services,2000,3313.8
Alabama,AL, 01000,Food services and accommodations,2000,4803.6
Alabama,AL, 01000,Financial services and insurance,2000,7101.7
Alabama,AL, 01000,Other services,2000,6149.4
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2000,1377.0
Alabama,AL, 01000,Gross output of nonprofit institutions,2000,7807.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2000,6430.0
Alabama,AL, 01000,Personal consumption expenditures,2001,90325.4
Alabama,AL, 01000,Goods,2001,36208.9
Alabama,AL, 01000,Durable goods,2001,12271.1
Alabama,AL, 01000,Motor vehicles and parts,2001,6048.1
Alabama,AL, 01000,Furnishings and durable household equipment,2001,2599.0
Alabama,AL, 01000,Recreational goods and vehicles,2001,2274.7
Alabama,AL, 01000,Other durable goods,2001,1349.3
Alabama,AL, 01000,Nondurable goods,2001,23937.8
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2001,8784.9
Alabama,AL, 01000,Clothing and footwear,2001,3792.0
Alabama,AL, 01000,Gasoline and other energy goods,2001,2851.5
Alabama,AL, 01000,Other nondurable goods,2001,8509.4
Alabama,AL, 01000,Services,2001,54116.5
Alabama,AL, 01000,Household consumption expenditures (for services),2001,52695.5
Alabama,AL, 01000,Housing and utilities,2001,13804.9
Alabama,AL, 01000,Health care,2001,14679.1
Alabama,AL, 01000,Transportation services,2001,2383.4
Alabama,AL, 01000,Recreation services,2001,3372.3
Alabama,AL, 01000,Food services and accommodations,2001,4908.8
Alabama,AL, 01000,Financial services and insurance,2001,7030.3
Alabama,AL, 01000,Other services,2001,6516.7
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2001,1421.0
Alabama,AL, 01000,Gross output of nonprofit institutions,2001,8183.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2001,6762.0
Alabama,AL, 01000,Personal consumption expenditures,2002,94859.3
Alabama,AL, 01000,Goods,2002,37908.0
Alabama,AL, 01000,Durable goods,2002,13122.5
Alabama,AL, 01000,Motor vehicles and parts,2002,6431.5
Alabama,AL, 01000,Furnishings and durable household equipment,2002,2777.3
Alabama,AL, 01000,Recreational goods and vehicles,2002,2458.1
Alabama,AL, 01000,Other durable goods,2002,1455.6
Alabama,AL, 01000,Nondurable goods,2002,24785.5
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2002,9037.4
Alabama,AL, 01000,Clothing and footwear,2002,3893.3
Alabama,AL, 01000,Gasoline and other energy goods,2002,2666.5
Alabama,AL, 01000,Other nondurable goods,2002,9188.4
Alabama,AL, 01000,Services,2002,56951.4
Alabama,AL, 01000,Household consumption expenditures (for services),2002,55487.3
Alabama,AL, 01000,Housing and utilities,2002,14328.1
Alabama,AL, 01000,Health care,2002,15863.3
Alabama,AL, 01000,Transportation services,2002,2347.3
Alabama,AL, 01000,Recreation services,2002,3512.7
Alabama,AL, 01000,Food services and accommodations,2002,5085.3
Alabama,AL, 01000,Financial services and insurance,2002,7547.4
Alabama,AL, 01000,Other services,2002,6803.4
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2002,1464.0
Alabama,AL, 01000,Gross output of nonprofit institutions,2002,8697.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2002,7233.0
Alabama,AL, 01000,Personal consumption expenditures,2003,99368.5
Alabama,AL, 01000,Goods,2003,39810.3
Alabama,AL, 01000,Durable goods,2003,13539.1
Alabama,AL, 01000,Motor vehicles and parts,2003,6451.4
Alabama,AL, 01000,Furnishings and durable household equipment,2003,2893.0
Alabama,AL, 01000,Recreational goods and vehicles,2003,2707.9
Alabama,AL, 01000,Other durable goods,2003,1486.9
Alabama,AL, 01000,Nondurable goods,2003,26271.1
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2003,9328.3
Alabama,AL, 01000,Clothing and footwear,2003,3819.4
Alabama,AL, 01000,Gasoline and other energy goods,2003,3147.9
Alabama,AL, 01000,Other nondurable goods,2003,9975.6
Alabama,AL, 01000,Services,2003,59558.2
Alabama,AL, 01000,Household consumption expenditures (for services),2003,58217.3
Alabama,AL, 01000,Housing and utilities,2003,14949.3
Alabama,AL, 01000,Health care,2003,16640.0
Alabama,AL, 01000,Transportation services,2003,2400.8
Alabama,AL, 01000,Recreation services,2003,3655.6
Alabama,AL, 01000,Food services and accommodations,2003,5456.5
Alabama,AL, 01000,Financial services and insurance,2003,7991.2
Alabama,AL, 01000,Other services,2003,7123.9
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2003,1341.0
Alabama,AL, 01000,Gross output of nonprofit institutions,2003,8861.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2003,7520.0
Alabama,AL, 01000,Personal consumption expenditures,2004,105420.7
Alabama,AL, 01000,Goods,2004,42646.8
Alabama,AL, 01000,Durable goods,2004,14390.0
Alabama,AL, 01000,Motor vehicles and parts,2004,6590.0
Alabama,AL, 01000,Furnishings and durable household equipment,2004,3139.1
Alabama,AL, 01000,Recreational goods and vehicles,2004,3057.3
Alabama,AL, 01000,Other durable goods,2004,1603.6
Alabama,AL, 01000,Nondurable goods,2004,28256.8
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2004,9670.3
Alabama,AL, 01000,Clothing and footwear,2004,3990.7
Alabama,AL, 01000,Gasoline and other energy goods,2004,3726.4
Alabama,AL, 01000,Other nondurable goods,2004,10869.3
Alabama,AL, 01000,Services,2004,62774.0
Alabama,AL, 01000,Household consumption expenditures (for services),2004,61314.9
Alabama,AL, 01000,Housing and utilities,2004,15679.8
Alabama,AL, 01000,Health care,2004,17552.1
Alabama,AL, 01000,Transportation services,2004,2500.0
Alabama,AL, 01000,Recreation services,2004,3888.2
Alabama,AL, 01000,Food services and accommodations,2004,5796.4
Alabama,AL, 01000,Financial services and insurance,2004,8502.1
Alabama,AL, 01000,Other services,2004,7396.4
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2004,1459.0
Alabama,AL, 01000,Gross output of nonprofit institutions,2004,9642.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2004,8183.0
Alabama,AL, 01000,Personal consumption expenditures,2005,113258.8
Alabama,AL, 01000,Goods,2005,45713.1
Alabama,AL, 01000,Durable goods,2005,15146.5
Alabama,AL, 01000,Motor vehicles and parts,2005,6726.7
Alabama,AL, 01000,Furnishings and durable household equipment,2005,3425.8
Alabama,AL, 01000,Recreational goods and vehicles,2005,3296.3
Alabama,AL, 01000,Other durable goods,2005,1697.8
Alabama,AL, 01000,Nondurable goods,2005,30566.5
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2005,10251.9
Alabama,AL, 01000,Clothing and footwear,2005,4200.9
Alabama,AL, 01000,Gasoline and other energy goods,2005,4555.7
Alabama,AL, 01000,Other nondurable goods,2005,11557.9
Alabama,AL, 01000,Services,2005,67545.8
Alabama,AL, 01000,Household consumption expenditures (for services),2005,66080.7
Alabama,AL, 01000,Housing and utilities,2005,16907.0
Alabama,AL, 01000,Health care,2005,19375.5
Alabama,AL, 01000,Transportation services,2005,2654.2
Alabama,AL, 01000,Recreation services,2005,4072.7
Alabama,AL, 01000,Food services and accommodations,2005,6259.3
Alabama,AL, 01000,Financial services and insurance,2005,9155.0
Alabama,AL, 01000,Other services,2005,7657.0
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2005,1465.0
Alabama,AL, 01000,Gross output of nonprofit institutions,2005,10347.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2005,8882.0
Alabama,AL, 01000,Personal consumption expenditures,2006,118931.8
Alabama,AL, 01000,Goods,2006,47997.3
Alabama,AL, 01000,Durable goods,2006,15615.9
Alabama,AL, 01000,Motor vehicles and parts,2006,6670.1
Alabama,AL, 01000,Furnishings and durable household equipment,2006,3624.7
Alabama,AL, 01000,Recreational goods and vehicles,2006,3489.1
Alabama,AL, 01000,Other durable goods,2006,1831.9
Alabama,AL, 01000,Nondurable goods,2006,32381.4
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2006,10257.1
Alabama,AL, 01000,Clothing and footwear,2006,4295.5
Alabama,AL, 01000,Gasoline and other energy goods,2006,5281.9
Alabama,AL, 01000,Other nondurable goods,2006,12546.9
Alabama,AL, 01000,Services,2006,70934.5
Alabama,AL, 01000,Household consumption expenditures (for services),2006,69483.4
Alabama,AL, 01000,Housing and utilities,2006,17990.2
Alabama,AL, 01000,Health care,2006,20152.5
Alabama,AL, 01000,Transportation services,2006,2749.6
Alabama,AL, 01000,Recreation services,2006,4239.8
Alabama,AL, 01000,Food services and accommodations,2006,6696.9
Alabama,AL, 01000,Financial services and insurance,2006,9646.7
Alabama,AL, 01000,Other services,2006,8007.8
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2006,1451.1
Alabama,AL, 01000,Gross output of nonprofit institutions,2006,10823.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2006,9372.0
Alabama,AL, 01000,Personal consumption expenditures,2007,124176.3
Alabama,AL, 01000,Goods,2007,50167.5
Alabama,AL, 01000,Durable goods,2007,16439.7
Alabama,AL, 01000,Motor vehicles and parts,2007,6739.3
Alabama,AL, 01000,Furnishings and durable household equipment,2007,3720.7
Alabama,AL, 01000,Recreational goods and vehicles,2007,3969.7
Alabama,AL, 01000,Other durable goods,2007,2010.0
Alabama,AL, 01000,Nondurable goods,2007,33727.8
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2007,10564.0
Alabama,AL, 01000,Clothing and footwear,2007,4328.9
Alabama,AL, 01000,Gasoline and other energy goods,2007,5632.4
Alabama,AL, 01000,Other nondurable goods,2007,13202.5
Alabama,AL, 01000,Services,2007,74008.8
Alabama,AL, 01000,Household consumption expenditures (for services),2007,72296.8
Alabama,AL, 01000,Housing and utilities,2007,18866.9
Alabama,AL, 01000,Health care,2007,20622.9
Alabama,AL, 01000,Transportation services,2007,2795.2
Alabama,AL, 01000,Recreation services,2007,4361.9
Alabama,AL, 01000,Food services and accommodations,2007,7035.3
Alabama,AL, 01000,Financial services and insurance,2007,10463.6
Alabama,AL, 01000,Other services,2007,8151.1
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2007,1712.0
Alabama,AL, 01000,Gross output of nonprofit institutions,2007,11839.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2007,10127.0
Alabama,AL, 01000,Personal consumption expenditures,2008,127649.7
Alabama,AL, 01000,Goods,2008,50169.6
Alabama,AL, 01000,Durable goods,2008,14953.6
Alabama,AL, 01000,Motor vehicles and parts,2008,5679.5
Alabama,AL, 01000,Furnishings and durable household equipment,2008,3442.9
Alabama,AL, 01000,Recreational goods and vehicles,2008,3842.7
Alabama,AL, 01000,Other durable goods,2008,1988.6
Alabama,AL, 01000,Nondurable goods,2008,35216.0
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2008,11013.1
Alabama,AL, 01000,Clothing and footwear,2008,4286.6
Alabama,AL, 01000,Gasoline and other energy goods,2008,6373.6
Alabama,AL, 01000,Other nondurable goods,2008,13542.7
Alabama,AL, 01000,Services,2008,77480.0
Alabama,AL, 01000,Household consumption expenditures (for services),2008,75319.7
Alabama,AL, 01000,Housing and utilities,2008,19745.8
Alabama,AL, 01000,Health care,2008,21400.1
Alabama,AL, 01000,Transportation services,2008,2799.9
Alabama,AL, 01000,Recreation services,2008,4523.0
Alabama,AL, 01000,Food services and accommodations,2008,7351.9
Alabama,AL, 01000,Financial services and insurance,2008,11086.0
Alabama,AL, 01000,Other services,2008,8413.0
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2008,2160.3
Alabama,AL, 01000,Gross output of nonprofit institutions,2008,12525.0
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2008,10364.7
Alabama,AL, 01000,Personal consumption expenditures,2009,126501.6
Alabama,AL, 01000,Goods,2009,47924.8
Alabama,AL, 01000,Durable goods,2009,13887.7
Alabama,AL, 01000,Motor vehicles and parts,2009,5154.2
Alabama,AL, 01000,Furnishings and durable household equipment,2009,3151.7
Alabama,AL, 01000,Recreational goods and vehicles,2009,3603.5
Alabama,AL, 01000,Other durable goods,2009,1978.3
Alabama,AL, 01000,Nondurable goods,2009,34037.2
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2009,11154.0
Alabama,AL, 01000,Clothing and footwear,2009,4172.5
Alabama,AL, 01000,Gasoline and other energy goods,2009,4665.4
Alabama,AL, 01000,Other nondurable goods,2009,14045.2
Alabama,AL, 01000,Services,2009,78576.8
Alabama,AL, 01000,Household consumption expenditures (for services),2009,76445.5
Alabama,AL, 01000,Housing and utilities,2009,20099.5
Alabama,AL, 01000,Health care,2009,22331.8
Alabama,AL, 01000,Transportation services,2009,2644.7
Alabama,AL, 01000,Recreation services,2009,4523.8
Alabama,AL, 01000,Food services and accommodations,2009,7433.3
Alabama,AL, 01000,Financial services and insurance,2009,10908.0
Alabama,AL, 01000,Other services,2009,8504.5
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2009,2131.3
Alabama,AL, 01000,Gross output of nonprofit institutions,2009,12934.9
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2009,10803.6
Alabama,AL, 01000,Personal consumption expenditures,2010,130833.8
Alabama,AL, 01000,Goods,2010,49895.6
Alabama,AL, 01000,Durable goods,2010,14402.9
Alabama,AL, 01000,Motor vehicles and parts,2010,5681.6
Alabama,AL, 01000,Furnishings and durable household equipment,2010,3141.5
Alabama,AL, 01000,Recreational goods and vehicles,2010,3520.0
Alabama,AL, 01000,Other durable goods,2010,2059.7
Alabama,AL, 01000,Nondurable goods,2010,35492.7
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2010,11257.9
Alabama,AL, 01000,Clothing and footwear,2010,4320.5
Alabama,AL, 01000,Gasoline and other energy goods,2010,5571.2
Alabama,AL, 01000,Other nondurable goods,2010,14343.1
Alabama,AL, 01000,Services,2010,80938.2
Alabama,AL, 01000,Household consumption expenditures (for services),2010,78834.0
Alabama,AL, 01000,Housing and utilities,2010,21032.5
Alabama,AL, 01000,Health care,2010,22636.6
Alabama,AL, 01000,Transportation services,2010,2744.1
Alabama,AL, 01000,Recreation services,2010,4647.1
Alabama,AL, 01000,Food services and accommodations,2010,7665.3
Alabama,AL, 01000,Financial services and insurance,2010,11427.3
Alabama,AL, 01000,Other services,2010,8681.1
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2010,2104.1
Alabama,AL, 01000,Gross output of nonprofit institutions,2010,13303.7
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2010,11199.5
Alabama,AL, 01000,Personal consumption expenditures,2011,135211.8
Alabama,AL, 01000,Goods,2011,52313.0
Alabama,AL, 01000,Durable goods,2011,14971.0
Alabama,AL, 01000,Motor vehicles and parts,2011,6023.1
Alabama,AL, 01000,Furnishings and durable household equipment,2011,3177.8
Alabama,AL, 01000,Recreational goods and vehicles,2011,3590.7
Alabama,AL, 01000,Other durable goods,2011,2179.4
Alabama,AL, 01000,Nondurable goods,2011,37342.0
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2011,11638.3
Alabama,AL, 01000,Clothing and footwear,2011,4452.7
Alabama,AL, 01000,Gasoline and other energy goods,2011,6827.5
Alabama,AL, 01000,Other nondurable goods,2011,14423.5
Alabama,AL, 01000,Services,2011,82898.8
Alabama,AL, 01000,Household consumption expenditures (for services),2011,80688.4
Alabama,AL, 01000,Housing and utilities,2011,21519.6
Alabama,AL, 01000,Health care,2011,23001.8
Alabama,AL, 01000,Transportation services,2011,2858.1
Alabama,AL, 01000,Recreation services,2011,4642.3
Alabama,AL, 01000,Food services and accommodations,2011,7939.2
Alabama,AL, 01000,Financial services and insurance,2011,11793.9
Alabama,AL, 01000,Other services,2011,8933.6
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2011,2210.3
Alabama,AL, 01000,Gross output of nonprofit institutions,2011,13675.8
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2011,11465.4
Alabama,AL, 01000,Personal consumption expenditures,2012,138773.3
Alabama,AL, 01000,Goods,2012,53665.8
Alabama,AL, 01000,Durable goods,2012,15582.3
Alabama,AL, 01000,Motor vehicles and parts,2012,6451.6
Alabama,AL, 01000,Furnishings and durable household equipment,2012,3252.4
Alabama,AL, 01000,Recreational goods and vehicles,2012,3663.7
Alabama,AL, 01000,Other durable goods,2012,2214.7
Alabama,AL, 01000,Nondurable goods,2012,38083.5
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2012,11833.8
Alabama,AL, 01000,Clothing and footwear,2012,4460.6
Alabama,AL, 01000,Gasoline and other energy goods,2012,6936.7
Alabama,AL, 01000,Other nondurable goods,2012,14852.4
Alabama,AL, 01000,Services,2012,85107.4
Alabama,AL, 01000,Household consumption expenditures (for services),2012,82761.8
Alabama,AL, 01000,Housing and utilities,2012,22037.5
Alabama,AL, 01000,Health care,2012,24018.6
Alabama,AL, 01000,Transportation services,2012,2896.7
Alabama,AL, 01000,Recreation services,2012,4729.9
Alabama,AL, 01000,Food services and accommodations,2012,8267.2
Alabama,AL, 01000,Financial services and insurance,2012,11861.9
Alabama,AL, 01000,Other services,2012,8950.0
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2012,2345.6
Alabama,AL, 01000,Gross output of nonprofit institutions,2012,14091.9
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2012,11746.3
Alabama,AL, 01000,Personal consumption expenditures,2013,141727.5
Alabama,AL, 01000,Goods,2013,54457.4
Alabama,AL, 01000,Durable goods,2013,16078.1
Alabama,AL, 01000,Motor vehicles and parts,2013,6683.2
Alabama,AL, 01000,Furnishings and durable household equipment,2013,3325.4
Alabama,AL, 01000,Recreational goods and vehicles,2013,3791.3
Alabama,AL, 01000,Other durable goods,2013,2278.2
Alabama,AL, 01000,Nondurable goods,2013,38379.3
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2013,11867.1
Alabama,AL, 01000,Clothing and footwear,2013,4507.0
Alabama,AL, 01000,Gasoline and other energy goods,2013,6907.2
Alabama,AL, 01000,Other nondurable goods,2013,15098.0
Alabama,AL, 01000,Services,2013,87270.1
Alabama,AL, 01000,Household consumption expenditures (for services),2013,84849.6
Alabama,AL, 01000,Housing and utilities,2013,22676.9
Alabama,AL, 01000,Health care,2013,24524.1
Alabama,AL, 01000,Transportation services,2013,2937.4
Alabama,AL, 01000,Recreation services,2013,4899.7
Alabama,AL, 01000,Food services and accommodations,2013,8725.4
Alabama,AL, 01000,Financial services and insurance,2013,11904.1
Alabama,AL, 01000,Other services,2013,9182.0
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2013,2420.5
Alabama,AL, 01000,Gross output of nonprofit institutions,2013,14535.9
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2013,12115.3
Alabama,AL, 01000,Personal consumption expenditures,2014,146511.7
Alabama,AL, 01000,Goods,2014,55821.1
Alabama,AL, 01000,Durable goods,2014,16609.6
Alabama,AL, 01000,Motor vehicles and parts,2014,6906.4
Alabama,AL, 01000,Furnishings and durable household equipment,2014,3449.3
Alabama,AL, 01000,Recreational goods and vehicles,2014,3879.0
Alabama,AL, 01000,Other durable goods,2014,2374.9
Alabama,AL, 01000,Nondurable goods,2014,39211.4
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2014,12207.9
Alabama,AL, 01000,Clothing and footwear,2014,4595.7
Alabama,AL, 01000,Gasoline and other energy goods,2014,6508.2
Alabama,AL, 01000,Other nondurable goods,2014,15899.6
Alabama,AL, 01000,Services,2014,90690.7
Alabama,AL, 01000,Household consumption expenditures (for services),2014,88072.1
Alabama,AL, 01000,Housing and utilities,2014,23755.0
Alabama,AL, 01000,Health care,2014,25294.9
Alabama,AL, 01000,Transportation services,2014,3081.8
Alabama,AL, 01000,Recreation services,2014,5033.0
Alabama,AL, 01000,Food services and accommodations,2014,9244.3
Alabama,AL, 01000,Financial services and insurance,2014,12032.7
Alabama,AL, 01000,Other services,2014,9630.3
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2014,2618.6
Alabama,AL, 01000,Gross output of nonprofit institutions,2014,14908.7
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2014,12290.1
Alabama,AL, 01000,Personal consumption expenditures,2015,150798.4
Alabama,AL, 01000,Goods,2015,56416.5
Alabama,AL, 01000,Durable goods,2015,17271.7
Alabama,AL, 01000,Motor vehicles and parts,2015,7338.8
Alabama,AL, 01000,Furnishings and durable household equipment,2015,3648.0
Alabama,AL, 01000,Recreational goods and vehicles,2015,3854.0
Alabama,AL, 01000,Other durable goods,2015,2430.9
Alabama,AL, 01000,Nondurable goods,2015,39144.7
Alabama,AL, 01000,Food and beverages purchased for off-premises consumption,2015,12482.4
Alabama,AL, 01000,Clothing and footwear,2015,4692.3
Alabama,AL, 01000,Gasoline and other energy goods,2015,4948.2
Alabama,AL, 01000,Other nondurable goods,2015,17021.8
Alabama,AL, 01000,Services,2015,94382.0
Alabama,AL, 01000,Household consumption expenditures (for services),2015,91924.9
Alabama,AL, 01000,Housing and utilities,2015,24529.0
Alabama,AL, 01000,Health care,2015,26468.7
Alabama,AL, 01000,Transportation services,2015,3167.6
Alabama,AL, 01000,Recreation services,2015,5307.2
Alabama,AL, 01000,Food services and accommodations,2015,9955.7
Alabama,AL, 01000,Financial services and insurance,2015,12509.1
Alabama,AL, 01000,Other services,2015,9987.6
Alabama,AL, 01000,Final consumption expenditures of nonprofit institutions serving households (NPISHs),2015,2457.1
Alabama,AL, 01000,Gross output of nonprofit institutions,2015,15384.5
Alabama,AL, 01000,Less: Receipts from sales of goods and services by nonprofit institutions,2015,12927.5
Alabama,AL, 01000,Personal consumption expenditures,2016,155347.6
Alabama,AL, 01000,Goods,2016,56905.8
Alabama,AL, 01000,Durable goods,2016,17924.2
Alabama,AL, 01000,Motor vehicles and parts,2016,7481.8
